,station,date,prcp,tobs
0,USC00519397,2010-01-01,0.08,65
1,USC00519397,2010-01-02,0.0,63
2,USC00519397,2010-01-03,0.0,74
3,USC00519397,2010-01-04,0.0,76
4,USC00519397,2010-01-07,0.06,70
5,USC00519397,2010-01-08,0.0,64
6,USC00519397,2010-01-09,0.0,68
7,USC00519397,2010-01-10,0.0,73
8,USC00519397,2010-01-11,0.01,64
9,USC00519397,2010-01-12,0.0,61
10,USC00519397,2010-01-14,0.0,66
11,USC00519397,2010-01-15,0.0,65
12,USC00519397,2010-01-16,0.0,68
13,USC00519397,2010-01-17,0.0,64
14,USC00519397,2010-01-18,0.0,72
15,USC00519397,2010-01-19,0.0,66
16,USC00519397,2010-01-20,0.0,66
17,USC00519397,2010-01-21,0.0,69
18,USC00519397,2010-01-22,0.0,67
19,USC00519397,2010-01-23,0.0,67
20,USC00519397,2010-01-24,0.01,71
21,USC00519397,2010-01-25,0.0,67
22,USC00519397,2010-01-26,0.04,76
23,USC00519397,2010-01-27,0.12,68
24,USC00519397,2010-01-28,0.0,72
25,USC00519397,2010-01-31,0.03,67
26,USC00519397,2010-02-01,0.01,66
27,USC00519397,2010-02-04,0.01,69
28,USC00519397,2010-02-05,0.0,67
29,USC00519397,2010-02-06,0.0,67
30,USC00519397,2010-02-07,0.0,64
31,USC00519397,2010-02-08,0.0,69
32,USC00519397,2010-02-09,0.0,73
33,USC00519397,2010-02-11,0.0,73
34,USC00519397,2010-02-12,0.02,69
35,USC00519397,2010-02-13,0.01,69
36,USC00519397,2010-02-14,0.0,69
37,USC00519397,2010-02-15,0.0,71
38,USC00519397,2010-02-16,0.0,61
39,USC00519397,2010-02-17,0.0,69
40,USC00519397,2010-02-20,0.03,64
41,USC00519397,2010-02-21,0.0,65
42,USC00519397,2010-02-22,0.0,67
43,USC00519397,2010-02-23,0.0,68
44,USC00519397,2010-02-24,0.0,65
45,USC00519397,2010-02-25,0.0,76
46,USC00519397,2010-02-26,0.0,75
47,USC00519397,2010-02-28,0.0,66
48,USC00519397,2010-03-01,0.01,70
49,USC00519397,2010-03-02,0.0,72
50,USC00519397,2010-03-03,0.0,73
51,USC00519397,2010-03-04,0.12,70
52,USC00519397,2010-03-05,0.08,71
53,USC00519397,2010-03-06,0.03,72
54,USC00519397,2010-03-07,0.0,72
55,USC00519397,2010-03-08,0.43,69
56,USC00519397,2010-03-09,0.06,70
57,USC00519397,2010-03-12,0.0,72
58,USC00519397,2010-03-13,0.0,73
59,USC00519397,2010-03-14,0.0,70
60,USC00519397,2010-03-15,0.06,71
61,USC00519397,2010-03-17,0.0,68
62,USC00519397,2010-03-18,0.0,70
63,USC00519397,2010-03-21,0.0,72
64,USC00519397,2010-03-22,0.0,69
65,USC00519397,2010-03-23,0.0,68
66,USC00519397,2010-03-24,0.0,74
67,USC00519397,2010-03-27,0.0,72
68,USC00519397,2010-03-28,0.0,73
69,USC00519397,2010-03-29,0.0,74
70,USC00519397,2010-03-30,0.0,73
71,USC00519397,2010-03-31,0.0,73
72,USC00519397,2010-04-01,0.0,74
73,USC00519397,2010-04-02,0.01,74
74,USC00519397,2010-04-03,0.17,74
75,USC00519397,2010-04-04,0.15,71
76,USC00519397,2010-04-05,0.27,72
77,USC00519397,2010-04-06,0.01,75
78,USC00519397,2010-04-08,0.0,75
79,USC00519397,2010-04-09,0.01,75
80,USC00519397,2010-04-10,0.0,75
81,USC00519397,2010-04-11,0.01,73
82,USC00519397,2010-04-12,0.01,73
83,USC00519397,2010-04-13,0.0,71
84,USC00519397,2010-04-15,0.0,71
85,USC00519397,2010-04-16,0.01,68
86,USC00519397,2010-04-17,0.0,70
87,USC00519397,2010-04-18,0.0,71
88,USC00519397,2010-04-19,0.0,74
89,USC00519397,2010-04-20,0.04,71
90,USC00519397,2010-04-21,0.01,75
91,USC00519397,2010-04-22,0.0,76
92,USC00519397,2010-04-23,0.02,75
93,USC00519397,2010-04-24,0.0,75
94,USC00519397,2010-04-25,0.0,76
95,USC00519397,2010-04-26,0.0,76
96,USC00519397,2010-04-28,0.0,76
97,USC00519397,2010-04-30,0.0,77
98,USC00519397,2010-05-01,0.0,77
99,USC00519397,2010-05-02,0.03,73
100,USC00519397,2010-05-03,0.2,74
101,USC00519397,2010-05-04,0.08,76
102,USC00519397,2010-05-05,0.01,76
103,USC00519397,2010-05-06,0.0,80
104,USC00519397,2010-05-07,0.05,74
105,USC00519397,2010-05-08,0.0,77
106,USC00519397,2010-05-09,0.0,77
